new unique backpack ! combines vintage with modern ! URL1283 via @USER415	ADJ ADJ NOUN PUNCT VERB NOUN ADP PROPN PUNCT X ADP PROPN
RT @USER767 : It 's been 3 years since the release of the music video of Burning Desire . URL637	X X PUNCT PRON AUX AUX NUM NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN PROPN PUNCT X
#openfollow for kpopers just retweet	VERB ADP PROPN ADV VERB
RT @USER526 : empathy 4 Kesha .... the worst . smh smh .. 💔	X X PUNCT VERB NUM PROPN PUNCT DET ADJ PUNCT INTJ INTJ PUNCT SYM
RT @USER2128 : do n't jump to conclusions . do n't take what the media says at face value . do your own research & stay informed . stop falling …	X X PUNCT AUX PART ADJ ADP PROPN PUNCT AUX PART VERB PRON DET NOUN VERB ADP NOUN NOUN PUNCT VERB PRON ADJ NOUN CCONJ VERB NOUN PUNCT VERB NOUN PUNCT
RT @USER445 : Spine - Chilling Stories of Real Life Cannibals , Horrible ! URL1310 URL1455	X X PUNCT PROPN PUNCT PROPN NOUN ADP ADJ NOUN PROPN PUNCT PROPN PUNCT X SYM
I 've entered for a chance to win a copy of @USER1136 on XB1 from @USER1071 thanks to @USER718 ! Enter HERE : URL1617	PRON AUX VERB ADP DET NOUN PART VERB DET NOUN ADP NOUN ADP NOUN ADP PROPN NOUN ADP PROPN PUNCT VERB ADV PUNCT X
Our military is doing everything it can to equip Iraq 's forces so our troop ... #MikeRogers #quotation URL1226	PRON NOUN AUX VERB PRON PRON AUX ADP ADJ NOUN PART VERB ADV PRON NOUN PUNCT PROPN X X
join our book club and learn about a lot of great books URL1049	VERB PRON VERB NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN X
RT @USER2270 : Keep in mind that some things will never make sense , no matter how hard you try to figure it out . Let go , breathe deeply & l …	X X PUNCT VERB ADP NOUN DET DET NOUN AUX ADV VERB NOUN PUNCT PRON VERB ADV ADJ PRON VERB PART VERB PRON ADV PUNCT VERB VERB PUNCT PROPN NOUN CCONJ NOUN PUNCT
RT @USER487 : Where is AKMU Where is MADE full album Where is EXIT : X Where is YGGG Saddest ? Where is Minzy ?	X X PUNCT ADV AUX ADJ ADV AUX VERB ADJ NOUN ADV AUX ADJ PUNCT PROPN ADV AUX ADJ PROPN PUNCT ADV AUX ADJ PUNCT
RT @USER2437 : If you have short memory let me inform you after signing COD Benazir made infamous NRO deal with Mushi . ☺ URL224 …	X X PUNCT SCONJ PRON VERB ADJ NOUN VERB PRON VERB PRON ADP VERB PROPN PROPN VERB ADJ NOUN VERB ADP PROPN PUNCT SYM X PUNCT
RT @USER1218 : @USER265 Blessed Sunday 😊	X X PUNCT PROPN PROPN PROPN SYM
Just because a nigga f*cks you , Does Not mean he loves you !!	ADV SCONJ DET NOUN VERB PRON PUNCT AUX PART VERB PRON VERB PRON PUNCT
Get Weather Updates from theweatherchannel 10:56:06	VERB VERB NOUN ADP PROPN X
" @USER1771 : Denial has become such a comfort for some that the truth has become an illusion . "	PUNCT PROPN PUNCT PROPN AUX VERB DET DET NOUN ADP DET DET DET NOUN AUX VERB DET NOUN PUNCT PUNCT
" You should know , that if you come any closer .. I wo n't let you go . "	PUNCT PRON AUX VERB PUNCT PRON SCONJ PRON VERB DET NOUN PUNCT PRON AUX PART VERB PRON VERB PUNCT PUNCT
#NowPlaying Get Another Boyfriend of @USER1659	PROPN VERB DET NOUN ADP NOUN
#baseball Bengie Molina considers retirement after World Series URL87	PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN X
#championLife RT @USER2393 : Lakers game wo n't start until they get those rings right ? See you at 10:45	PROPN X X PUNCT PROPN NOUN AUX PART VERB SCONJ PRON VERB PRON NOUN ADV PUNCT VERB PRON ADP PROPN
#howcome condoms smell so bad !!!!!!	PROPN PROPN VERB ADV ADJ PUNCT
#nothappy that Adelaide has lost the #rugbysevens	VERB SCONJ NOUN AUX VERB DET NOUN
. @USER1012 & I are talking about optics entrepreneurship & " the Actuality story " tonight Media Lab E14 - 525 6 p - 8 p for URL51	PUNCT PROPN CCONJ PRON AUX VERB ADP PROPN NOUN CCONJ PUNCT DET ADJ NOUN PUNCT NOUN NOUN PROPN NOUN PUNCT PROPN NUM NOUN PUNCT NUM NOUN ADP PROPN
1 , 2 , 3 , 4 , 5 Teen Titans !	NUM PUNCT NUM PUNCT NUM PUNCT NUM PUNCT NUM PROPN PROPN PUNCT
; idk why ... but ifeel like talkin dirty O_o	PUNCT PROPN ADV PUNCT CCONJ VERB ADP PROPN ADJ NOUN
@ troy smith is about to finish the rest of the season for the 49ers ... he 's gon na get them a win this week	ADP PROPN NOUN AUX ADP PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON AUX VERB PART VERB PRON DET VERB PRON NOUN
@USER90 NBC is going to have the NYC fireworks on . They are amazing - at least in person they were two years ago .	PROPN PROPN AUX VERB PART VERB DET NOUN NOUN ADP PUNCT PRON AUX ADJ PUNCT ADP ADV ADP NOUN PRON AUX NUM NOUN ADV PUNCT
@USER153 I 'm scoopin Jo right now	PROPN PRON AUX ADJ PROPN ADV ADV
@USER272 I 'm from england . Where 's missiuri ?	PROPN PRON AUX ADP PROPN PUNCT ADV PART ADJ PUNCT
@USER288 i did tooo ! this is getting goood . lol	PROPN PRON VERB VERB PUNCT PRON AUX VERB PROPN PUNCT INTJ
@USER312 well I 'm fuckn amazin .. lol ... tottaly awsome who 's bad now lol	PROPN INTJ PRON AUX ADJ PROPN PUNCT INTJ PUNCT PROPN PROPN PRON AUX ADJ ADV INTJ
@USER349 I already have sis !!! Girl they hate me !	PROPN PRON ADV VERB NOUN PUNCT PROPN PRON VERB PRON PUNCT
@USER355 yea I was wondering if after they banned the indian we got a new one	PROPN INTJ PRON AUX VERB SCONJ SCONJ PRON VERB DET ADJ PRON VERB DET ADJ NOUN
@USER357 :D	PROPN SYM
@USER367 lmbo	PROPN PROPN
@USER403 the one you said you was gon na make . the one i bought everything for and have been waiting for ?	VERB DET NOUN PRON VERB PRON AUX VERB PART VERB PUNCT DET NOUN PRON VERB PRON ADP CCONJ AUX AUX VERB ADP PUNCT
@USER446 how ??!	PROPN ADV NOUN
@USER447 miss yhuuuu !	PROPN VERB PROPN PUNCT
@USER547 that is the most stunning creature I have ever seen	VERB PRON AUX DET ADJ NOUN PROPN PRON VERB ADV VERB
@USER600 Yeah I m goodie just in the lab working ... Wow ! I need to be where you at ! lol let me visit	PROPN INTJ PRON AUX VERB ADV ADP DET NOUN VERB PUNCT INTJ PUNCT PRON VERB PART AUX ADV PRON ADP PUNCT INTJ VERB PRON VERB
@USER678 that 's a tight score .	VERB PRON AUX DET NOUN VERB PUNCT
@USER688 I hear enough talking , just turn round keep walking haha in that part	PROPN PRON VERB ADJ VERB PUNCT ADV VERB NOUN VERB VERB INTJ ADP DET NOUN
@USER771 that 's ladybug	VERB PRON AUX ADJ
@USER842 hi , how are you good ? URL142	PROPN INTJ PUNCT ADV AUX PRON ADJ PUNCT SYM
@USER915 oh nasty perv lol	PROPN INTJ ADJ NOUN INTJ
@USER935 aight leaving my crib in 20 minutes	PROPN PROPN VERB PRON NOUN ADP NUM NOUN
@USER1007 has no sense !!! LOL	PROPN VERB DET NOUN PUNCT INTJ
@USER1022 I had potted shrimp last night . Except someone else ordered it & I could n't work out why we had creme brulee for a starter ...	PROPN PRON VERB ADJ PROPN ADJ NOUN PUNCT VERB PRON ADJ NOUN PRON CCONJ PRON AUX PART VERB ADV ADV PRON VERB ADJ NOUN ADP DET NOUN PUNCT
@USER1031 lol you 're lame ;)	PROPN INTJ PRON AUX ADJ SYM
@USER1039 benadryl is your friend lol	PROPN PROPN AUX PRON NOUN INTJ
@USER1074 @USER2632 @USER1318 @USER1108 can i have your email so i can invite you to a sample sale	PROPN PROPN PROPN PROPN AUX PRON VERB PRON NOUN ADV PRON AUX VERB PRON ADP DET NOUN NOUN
